entry_id,name_it,name_ja,name_en,item,sub_item,region,certification,status
IT-VEG-GAR-001,Aglio Bianco Piacentino,ピアチェンツァ白ニンニク,Piacenza White Garlic,ニンニク,白ニンニク,Emilia-Romagna,IGP,pending
IT-VEG-GAR-002,Aglio Bianco Polesano,ポレージネ白ニンニク,Polesano White Garlic,ニンニク,白ニンニク,Veneto,DOP,pending
IT-VEG-GAR-003,Aglio di Voghiera,ヴォギエーラのニンニク,Voghiera Garlic,ニンニク,,Emilia-Romagna,DOP,pending
IT-VEG-ASP-001,Asparago Bianco di Bassano,バッサーノの白アスパラガス,White Asparagus of Bassano,アスパラガス,白アスパラガス,Veneto,DOP,pending
IT-VEG-ASP-002,Asparago Bianco di Cimadolmo,チマドルモの白アスパラガス,White Asparagus of Cimadolmo,アスパラガス,白アスパラガス,Veneto,IGP,pending
IT-VEG-ASP-003,Asparago di Badoere,バドエーレのアスパラガス,Asparagus of Badoere,アスパラガス,,Veneto,IGP,pending
IT-VEG-ASP-004,Asparago di Cantello,カンテッロのアスパラガス,Asparagus of Cantello,アスパラガス,,Lombardia,IGP,pending
IT-VEG-ASP-005,Asparago Verde di Altedo,アルテードの緑アスパラガス,Green Asparagus of Altedo,アスパラガス,グリーンアスパラガス,Emilia-Romagna,IGP,pending
IT-VEG-ASP-006,Asparago Verde di Canino,カニーノの緑アスパラガス,Green Asparagus of Canino,アスパラガス,グリーンアスパラガス,Lazio,IGP,pending
IT-VEG-HRB-001,Basilico Genovese,ジェノヴェーゼバジル,Genovese Basil,バジル|ハーブ,,Liguria,DOP,pending
IT-VEG-ROT-001,Brovada,ブロヴァーダ（発酵カブ）,Brovada,カブ,発酵カブ,Friuli Venezia Giulia,DOP,pending
IT-VEG-CAP-001,Cappero delle Isole Eolie,エオリア諸島のケッパー,Caper of the Aeolian Islands,ケッパー,,Sicilia,DOP,pending
IT-VEG-CAP-002,Cappero di Pantelleria,パンテッレリーアのケッパー,Caper of Pantelleria,ケッパー,,Sicilia,IGP,pending
IT-VEG-ART-001,Carciofo Brindisino,ブリンディジのアーティチョーク,Brindisi Artichoke,アーティチョーク,,Puglia,IGP,pending
IT-VEG-ART-002,Carciofo di Paestum,パエストゥムのアーティチョーク,Paestum Artichoke,アーティチョーク,,Campania,IGP,pending
IT-VEG-ART-003,Carciofo Romanesco del Lazio,ラツィオのロマネスコアーティチョーク,Romanesco Artichoke of Lazio,アーティチョーク,ロマネスコ種,Lazio,IGP,pending
IT-VEG-ART-004,Carciofo Spinoso di Sardegna,サルデーニャのトゲアーティチョーク,Thorny Artichoke of Sardinia,アーティチョーク,スピノーゾ種,Sardegna,DOP,pending
IT-VEG-CRT-001,Carota dell'Altopiano del Fucino,フチーノ高原のニンジン,Carrot of the Fucino Plateau,ニンジン,,Abruzzo,IGP,pending
IT-VEG-CRT-002,Carota Novella di Ispica,イスピカの新ニンジン,New Carrot of Ispica,ニンジン,新ニンジン,Sicilia,IGP,pending
IT-VEG-CLF-001,Cavolfiore della Piana del Sele,セーレ平野のカリフラワー,Cauliflower of the Sele Plain,カリフラワー,,Campania,IGP,pending
IT-VEG-ONI-001,Cipolla Bianca di Margherita,マルゲリータの白タマネギ,White Onion of Margherita,タマネギ,白タマネギ,Puglia,IGP,pending
IT-VEG-ONI-002,Cipolla Rossa di Tropea Calabria,トロペア赤タマネギ,Red Onion of Tropea Calabria,タマネギ,赤タマネギ,Calabria,IGP,pending
IT-VEG-ONI-003,Cipollotto Nocerino,ノチェリーノの小タマネギ,Nocerino Spring Onion,タマネギ,小タマネギ,Campania,DOP,pending
IT-VEG-BEN-001,Fagioli Bianchi di Rotonda,ロトンダの白インゲン,White Beans of Rotonda,インゲン豆,白インゲン,Basilicata,DOP,pending
IT-VEG-BEN-002,Fagiolo Cannellino di Atina,アティーナのカンネッリーノ豆,Cannellino Bean of Atina,インゲン豆,カンネッリーノ,Lazio,DOP,pending
IT-VEG-BEN-003,Fagiolo Cuneo,クーネオのインゲン豆,Cuneo Bean,インゲン豆,,Piemonte,IGP,pending
IT-VEG-BEN-004,Fagiolo di Lamon della Vallata Bellunese,ラモンのインゲン豆,Lamon Bean of the Belluno Valley,インゲン豆,,Veneto,IGP,pending
IT-VEG-BEN-005,Fagiolo di Sarconi,サルコーニのインゲン豆,Sarconi Bean,インゲン豆,,Basilicata,IGP,pending
IT-VEG-BEN-006,Fagiolo di Sorana,ソラーナのインゲン豆,Sorana Bean,インゲン豆,,Toscana,IGP,pending
IT-VEG-FEN-001,Finocchio di Isola Capo Rizzuto,イゾラ・カーポ・リッズートのフェンネル,Fennel of Isola Capo Rizzuto,フェンネル,,Calabria,IGP,pending
IT-VEG-MUS-001,Fungo di Borgotaro,ボルゴターロのポルチーニ茸,Borgotaro Porcini Mushroom,キノコ,ポルチーニ,Emilia-Romagna,IGP,pending
IT-VEG-LEF-001,Insalata di Lusia,ルージアのレタス,Lusia Lettuce,レタス,,Veneto,IGP,pending
IT-VEG-OLV-001,La Bella della Daunia,ラ・ベッラ・デッラ・ダウニア（テーブルオリーブ）,La Bella della Daunia Table Olive,オリーブ,テーブルオリーブ,Puglia,DOP,pending
IT-VEG-LNT-001,Lenticchia di Altamura,アルタムーラのレンズ豆,Altamura Lentil,レンズ豆,,Puglia,IGP,pending
IT-VEG-LNT-002,Lenticchia di Castelluccio di Norcia,カステッルッチョ・ディ・ノルチャのレンズ豆,Castelluccio di Norcia Lentil,レンズ豆,,Umbria,IGP,pending
IT-VEG-LNT-003,Lenticchia di Onano,オナーノのレンズ豆,Onano Lentil,レンズ豆,,Lazio,IGP,pending
IT-VEG-EGG-001,Melanzana Rossa di Rotonda,ロトンダの赤ナス,Red Eggplant of Rotonda,ナス,赤ナス,Basilicata,DOP,pending
IT-VEG-OLV-002,Nocellara del Belice,ノチェッラーラ・デル・ベリチェ（テーブルオリーブ）,Nocellara del Belice Table Olive,オリーブ,テーブルオリーブ,Sicilia,DOP,pending
IT-VEG-OLV-003,Oliva Ascolana del Piceno,アスコリ・ピチェーノのオリーブ,Ascolana Olive of Piceno,オリーブ,テーブルオリーブ,Marche,DOP,pending
IT-VEG-OLV-004,Oliva di Gaeta,ガエータのオリーブ,Gaeta Olive,オリーブ,テーブルオリーブ,Lazio,DOP,pending
IT-VEG-OLV-005,Olive Taggiasche Liguri,タッジャスカ・リグーリのオリーブ,Ligurian Taggiasca Olives,オリーブ,テーブルオリーブ,Liguria,IGP,pending
IT-VEG-POT-001,Patata del Fucino,フチーノのジャガイモ,Fucino Potato,ジャガイモ,,Abruzzo,IGP,pending
IT-VEG-POT-002,Patata dell'Alto Viterbese,アルト・ヴィテルベーゼのジャガイモ,Alto Viterbese Potato,ジャガイモ,,Lazio,IGP,pending
IT-VEG-POT-003,Patata della Sila,シラのジャガイモ,Sila Potato,ジャガイモ,,Calabria,IGP,pending
IT-VEG-POT-004,Patata di Bologna,ボローニャのジャガイモ,Bologna Potato,ジャガイモ,,Emilia-Romagna,DOP,pending
IT-VEG-POT-005,Patata Novella di Galatina,ガラティーナの新ジャガイモ,New Potato of Galatina,ジャガイモ,新ジャガイモ,Puglia,DOP,pending
IT-VEG-POT-006,Patata Rossa di Colfiorito,コルフィオリートの赤ジャガイモ,Red Potato of Colfiorito,ジャガイモ,赤ジャガイモ,Umbria,IGP,pending
IT-VEG-PEP-001,Peperone di Pontecorvo,ポンテコルヴォのピーマン,Pontecorvo Pepper,ピーマン|ペッパー,,Lazio,DOP,pending
IT-VEG-PEP-002,Peperone di Senise,セニーゼのピーマン,Senise Pepper,ピーマン|ペッパー,,Basilicata,IGP,pending
IT-VEG-TOM-001,Pomodorino del Piennolo del Vesuvio,ヴェスヴィオのピエンノロミニトマト,Piennolo Cherry Tomato of Vesuvius,トマト,ミニトマト,Campania,DOP,pending
IT-VEG-TOM-002,Pomodoro di Pachino,パキーノのトマト,Pachino Tomato,トマト,,Sicilia,IGP,pending
IT-VEG-TOM-003,Pomodoro San Marzano dell'Agro Sarnese-Nocerino,サンマルツァーノトマト,San Marzano Tomato,トマト,加工用トマト,Campania,DOP,pending
IT-VEG-TOM-004,Costoluto Fiorentino,コストルート・フィオレンティーノ,Costoluto Fiorentino Tomato,トマト,リブ付きトマト,Toscana,PAT,pending
IT-VEG-TOM-005,Pomodoro Siccagno,シッカーニョトマト,Siccagno Tomato,トマト,乾燥栽培トマト,Sicilia,PAT,pending
IT-VEG-TOM-006,Pomodoro Regina di Torre Canne,レジーナ・ディ・トッレ・カンネ,Regina di Torre Canne Tomato,トマト,保存用トマト,Puglia,Presidio,pending
